Provinsi / Kabupaten / Kota,,
,Indeks Pemberdayaan Gender (IDG),
SUMBA BARAT DAYA,68.9,65.04
NAGEKEO,53.3,0
MANGGARAI TIMUR,53.02,53.62
SABU RAIJUA,56.54,56.5
MALAKA,59.4,59.75
KOTA KUPANG,75.4,75.22
KALIMANTAN BARAT,73.18,73.05
SAMBAS,69.03,67.2
BENGKAYANG,73.97,76.37
LANDAK,67.59,65.53
PONTIANAK,62.21,61.79
SANGGAU,71.28,73.86
KETAPANG,55.14,56.46
SINTANG,63.74,63.7
KAPUAS HULU,64.05,63.76
SEKADAU,57.25,57.74
MELAWI,73.71,73.59
KAYONG UTARA,47.97,47.36
KUBU RAYA,78.05,77.63
KOTA PONTIANAK,68.44,66.99
KOTA SINGKAWANG,71.34,69.66
KALIMANTAN TENGAH,81.98,79.99
KOTAWARINGIN BARAT,63,66.18
KOTAWARINGIN TIMUR,67.38,70.8
KAPUAS,73.35,74.37
BARITO SELATAN,86.34,86.33
BARITO UTARA,87.1,87.08
SUKAMARA,67.33,67.53
LAMANDAU,69.98,71.4
SERUYAN,62.16,66.83
KATINGAN,66.8,68.19
PULANG PISAU,69.68,71.01
GUNUNG MAS,89.15,89.29
BARITO TIMUR,82.56,81.48
MURUNG RAYA,67.48,66.69
KOTA PALANGKA RAYA,80.48,81.85
KALIMANTAN SELATAN,74.8,75.97
TANAH LAUT,73.54,76.45
KOTA BARU,74.85,75.95
BANJAR,80.83,80.86
BARITO KUALA,78.8,79.24
TAPIN,72.82,73.53
HULU SUNGAI SELATAN,54.45,55.12
HULU SUNGAI TENGAH,77.89,77.73
HULU SUNGAI UTARA,71.81,70.65
TABALONG,74.6,72.54
TANAH BUMBU,65.72,67.75
BALANGAN,70.03,73.27
KOTA BANJARMASIN,79.73,79.48
KOTA BANJAR BARU,69.33,70.2
KALIMANTAN TIMUR,66.89,68.96
PASIR,64.94,68.35
KUTAI BARAT,66.01,66.9
KUTAI KARTANEGARA,63.4,63.55
KUTAI TIMUR,51.55,53.99
BERAU,58.17,57.53
MALINAU,69.1,72.55
BULUNGAN,65.72,0
NUNUKAN,77.41,78.68
PENAJAM PASER UTARA,50.58,50.02
TANA TIDUNG,60.82,61.54
MAHAKAM ULU,81.11,82.42
KOTA BALIKPAPAN,69.27,72
KOTA SAMARINDA,68.63,68.71
KOTA TARAKAN,59.15,58.61
KOTA BONTANG,46.12,47.2
KALIMANTAN UTARA,61.92,58.86
MALINAU,69.1,72.55
BULONGAN,65.72,65.55
TANA TIDUNG,60.82,61.54
NUNUKAN,77.41,78.68
KOTA TARAKAN,59.15,58.61
SULAWESI UTARA,78.99,80.56
BOLAANG MONGONDOW,71.41,76.79
MINAHASA,87.16,87.8
KEPULAUAN SANGIHE,61.58,62.99
KEPULAUAN TALAUD,69.09,68.21
MINAHASA SELATAN,75.16,73.84
MINAHASA UTARA,65.6,67.07
BOLAANG MONGONDOW UTARA,57.19,58.6
SIAU TAGULANDANG BIARO,75.75,78.24
MINAHASA TENGGARA,80.09,80.63
BOLAANG MONGONDOW SELATAN,62.98,65.11
BOLAANG MONGONDOW TIMUR,70.13,66.1
KOTA MANADO,84.88,83.49
KOTA BITUNG,66.42,65.3
KOTA TOMOHON,83.44,83.48
KOTA KOTAMOBAGU,67.81,62.98
SULAWESI TENGAH,77.52,77.29
BANGGAI KEPULAUAN,76.01,75.89
BANGGAI,74.21,76.07
MOROWALI,55.25,56.01
POSO,71.05,75.34
DONGGALA,64.58,58.23
TOLI-TOLI,65.7,65.48
BUOL,61.34,61.53
PARIGI MOUTONG,62.74,59.77
TOJO UNA-UNA,55.21,54.39
SIGI,72.78,72.29
BANGGAI LAUT,70.41,71.7
MOROWALI UTARA,65,65.32
KOTA PALU,65.36,67.84
SULAWESI SELATAN,76.37,75.24
KEPULAUAN SELAYAR,68.71,70.29
BULUKUMBA,70.32,69.74
BANTAENG,80.21,79.28
JENEPONTO,68.94,70.73
TAKALAR,73.39,74.45
GOWA,78.35,79.7
SINJAI,73.78,71.09
MAROS,71.63,71.85
PANGKAJENE DAN KEPULAUAN,64.12,66.38
BARRU,65.24,64.91
BONE,59.09,58.61
SOPPENG,71.07,74.6
WAJO,55.83,57.9
SIDENRENG RAPPANG,56.71,60.37
PINRANG,65.12,68.92
ENREKANG,62.98,64.68
LUWU,58.03,55.34
TANA TORAJA,70.68,70.29
LUWU UTARA,43.96,47.63
LUWU TIMUR,55.4,53.38
TORAJA UTARA,64.21,62.23
KOTA MAKASSAR,78.15,78.13
KOTA PARE-PARE,71.21,71.85
KOTA PALOPO,79.1,78.19
SULAWESI TENGGARA,73.72,73.58
BUTON,70.51,70.37
MUNA,65.95,65.12
KONAWE,79.17,80.13
KOLAKA,67.14,67.85
KONAWE SELATAN,73.97,75.29
BOMBANA,58.86,68.48
WAKATOBI,81.35,83.62
KOLAKA UTARA,67.07,64.26
BUTON UTARA,77.47,77.18
KONAWE UTARA,69.39,70.65
KOLAKA TIMUR,78.72,77.92
KONAWE KEPULAUAN,51.19,53.85
MUNA BARAT,57.35,57.58
BUTON TENGAH,80.51,81.82
BUTON SELATAN,75.99,77.46
KOTA KENDARI,81.68,81.02
KOTA BAU-BAU,72.46,72.04
GORONTALO,71.2,71.11
BOALEMO,67.8,69.46
GORONTALO,62.68,63.22
POHUWATO,73.66,70.45
BONE BOLANGO,52.33,53.38
GORONTALO UTARA,70.02,69.21
KOTA GORONTALO,73.08,72.15
SULAWESI BARAT,66.55,66.93
MAJENE,75.76,76.28
POLEWALI MANDAR,71.81,74.87
MAMASA,60.39,60.95
MAMUJU,60.59,60.96
MAMUJU UTARA,57.52,57.17
MAMUJU TENGAH,67.01,57.26
MALUKU,74.99,78.09
MALUKU TENGGARA BARAT,78.64,77.96
MALUKU TENGGARA,69.96,69.41
MALUKU TENGAH,59.2,64.95
BURU,55.42,55.56
KEPULAUAN ARU,62.18,63.22
SERAM BAGIAN BARAT,55.42,56.39
SERAM BAGIAN TIMUR,51.97,53.45
MALUKU BARAT DAYA,57.86,57.47
BURU SELATAN,60.63,62.19
KOTA AMBON,73.98,74.71
KOTA TUAL,58.83,58.53
MALUKU UTARA,78.99,79.05
HALMAHERA BARAT,70.31,73.55
HALMAHERA TENGAH,58.34,53.32
KEPULAUAN SULA,45.63,44.91
HALMAHERA SELATAN,46.38,47.19
HALMAHERA UTARA,65.5,68.4
HALMAHERA TIMUR,50.2,50.05
PULAU MOROTAI,53.75,54.56
PULAU TALIABU,57.14,58.6
KOTA TERNATE,74.25,74.45
KOTA TIDORE KEPULAUAN,68.23,67.74
PAPUA BARAT,61.93,62.42
FAKFAK,59.71,59.49
KAIMANA,73.35,80.75
TELUK WONDAMA,47.39,52.94
TELUK BINTUNI,57.8,53.82
