Provinsi/Kabupaten/Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,Indeks Pembangunan Gender (IPG),,,2016,2017.0,2018.0
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,Indeks Pembangunan Gender (IPG),,
,Indeks Pembangunan Gender (IPG),,2019,2020.0,2021.0,2016,2017.0,2018.0
,2022,2023.0,Indeks Pembangunan Gender (IPG),,,Indeks Pembangunan Gender (IPG),,
Kota Bogor,90.97,91.11,91.11,91.02,90.87,-,90.9,90.92
Kota Sukabumi,91.83,92.35,91.44,91.36,91.58,-,90.95,91.07
Kota Bandung,94.81,94.71,94.82,94.68,94.72,-,95.03,95.11
Kota Cirebon,94.91,95.55,94.35,94.39,94.46,-,93.94,93.94
Kota Bekasi,93.49,93.52,93.02,92.95,93.09,-,93.09,93.26
Kota Depok,93.47,93.44,92.78,93.01,92.96,-,93.05,93.06
Kota Cimahi,91.97,92.0,92.2,92.01,91.95,-,92.33,92.36
Kota Tasikmalaya,91.87,92.13,91.48,91.64,91.74,-,91.06,91.07
Kota Banjar,87.67,87.85,87.12,87.17,87.01,-,86.93,87.11
JAWA TENGAH,92.83,92.87,91.89,92.18,92.48,92.22,91.94,91.95
Cilacap,87.02,87.34,86.67,86.69,87.0,-,86.14,86.53
Banyumas,89.15,89.14,88.2,88.27,88.54,-,87.62,87.94
Purbalingga,93.21,93.51,92.68,92.78,93.08,-,92.31,92.32
Banjarnegara,95.19,95.09,95.38,95.28,95.32,-,95.02,95.18
Kebumen,93.26,93.37,93.34,93.05,93.06,-,92.68,93.09
Purworejo,95.59,95.34,94.92,94.96,95.33,-,95.26,95.11
Wonosobo,92.65,92.95,92.72,92.75,92.78,-,92.61,92.91
Magelang,92.21,92.49,91.78,91.81,91.89,-,91.95,92.23
Boyolali,94.37,94.7,93.5,94.19,94.22,-,92.96,93.24
Klaten,96.11,95.79,96.04,96.17,96.0,-,96.54,96.0
Sukoharjo,96.96,97.37,96.58,96.49,96.52,-,96.98,96.73
