Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Pegunungan Arfak,-,76.07,76.15
Kota Sorong,-,90.98,91.38
PAPUA,79.09,79.38,80.11
Merauke,-,87.45,87.69
Jayawijaya,-,82.8,82.93
Jayapura,-,90.48,90.59
Nabire,-,89.97,90.27
Kepulauan Yapen,-,88.07,88.68
Biak Numfor,-,89.8,90.1
Paniai,-,67.15,67.6
Puncak Jaya,-,64.43,65.2
Mimika,-,77.09,77.1
Boven Digoel,-,78.83,79.17
Mappi,-,83.77,83.65
Asmat,-,50.61,52.23
Yahukimo,-,70.53,71.83
Pegunungan Bintang,-,79.83,80.49
Tolikara,-,57.77,59.17
Sarmi,-,82.12,82.31
Keerom,-,85.3,85.78
Waropen,-,70.13,70.57
Supiori,-,76.16,76.31
Mamberamo Raya,-,80.64,81.47
Nduga,-,84.45,84.47
Lanny Jaya,-,91.58,91.59
Mamberamo Tengah,-,87.35,86.8
Yalimo,-,82.29,83.47
Puncak,-,82.4,82.61
Dogiyai,-,81.17,81.05
Intan Jaya,-,68.42,69.32
Deiyai,-,69.69,71.05
Kota Jayapura,-,94.12,94.33
INDONESIA,90.82,90.96,90.99
