Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
BUOL,60.74,61.17,61.32
PARIGI MOUTONG,60.85,60.49,60.5
TOJO UNA-UNA,50.73,50.98,50.69
SIGI,67.12,65.77,69.37
BANGGAI LAUT,71.14,68.51,72.68
MOROWALI UTARA,66.32,67.44,66.13
KOTA PALU,66.15,65.76,65.07
SULAWESI SELATAN,76.01,76.32,74.76
KEPULAUAN SELAYAR,68.03,70.06,68.07
BULUKUMBA,69.89,68.22,67.1
BANTAENG,80.27,80.26,81.2
JENEPONTO,68.04,68.24,68.68
TAKALAR,70.66,68.78,70.67
GOWA,78.31,77.97,79.71
SINJAI,72.48,73.46,73.59
MAROS,69.93,72.43,72.38
PANGKAJENE DAN KEPULAUAN,57.03,59.44,59.94
BARRU,63.41,63.96,63.98
BONE,58.55,56.68,57.55
SOPPENG,71.45,71.15,70.54
WAJO,55.09,56.24,56.3
SIDENRENG RAPPANG,56.8,56.86,56.39
PINRANG,67.92,68.11,68.43
ENREKANG,58.28,60.32,56.51
LUWU,55.89,57.15,57.29
TANA TORAJA,69.32,68.5,68.77
LUWU UTARA,38.92,38.11,41.11
LUWU TIMUR,50.76,50.76,54.09
TORAJA UTARA,62.58,60.98,62.73
KOTA MAKASSAR,78.32,77.61,76.59
KOTA PARE-PARE,73.86,74.06,70.86
KOTA PALOPO,77.53,77.47,78.45
SULAWESI TENGGARA,71.4,72.54,73.1
BUTON,64.49,71.41,68.21
MUNA,65.49,65.75,65.32
KONAWE,78.41,78.29,77.94
KOLAKA,63.98,67.48,67.02
KONAWE SELATAN,70.02,69.77,72.04
BOMBANA,58.11,57.19,57.62
WAKATOBI,79.01,79.85,79.86
KOLAKA UTARA,67.3,65.01,64.54
BUTON UTARA,76.46,76.24,75.55
KONAWE UTARA,69.52,69.52,69.04
KOLAKA TIMUR,80.33,81.38,80.75
KONAWE KEPULAUAN,51.17,51.1,51.48
MUNA BARAT,50.64,52.76,55.66
BUTON TENGAH,80.2,81.29,80.73
BUTON SELATAN,74.66,74.75,74.79
KOTA KENDARI,79.76,81,81.22
KOTA BAU-BAU,72.28,72.12,72.42
GORONTALO,70.67,70.74,70.4
BOALEMO,68.53,69.15,70.38
GORONTALO,62.91,62.84,62.48
POHUWATO,68.74,73.16,69.41
BONE BOLANGO,51.91,51.73,52.13
GORONTALO UTARA,76.61,70.49,70.51
KOTA GORONTALO,75.33,75.23,71.19
SULAWESI BARAT,65.92,65.92,65.93
MAJENE,75.3,75.56,75.46
POLEWALI MANDAR,72.21,71.94,71.13
MAMASA,60.28,60.4,60.49
MAMUJU,58.96,58.58,59.38
MAMUJU UTARA,50.46,54.13,56.97
MAMUJU TENGAH,65.86,66.56,67.11
MALUKU,75.77,75.54,75.54
MALUKU TENGGARA BARAT,73.32,76.66,77.53
MALUKU TENGGARA,69.08,69.24,69.22
MALUKU TENGAH,63.23,63.03,62.94
BURU,56.39,56.56,56.56
KEPULAUAN ARU,62.7,62.72,62.64
SERAM BAGIAN BARAT,54.26,53.33,55.49
SERAM BAGIAN TIMUR,52.79,53.41,51.74
MALUKU BARAT DAYA,55.85,55.99,56.41
BURU SELATAN,55.87,61.23,61.48
KOTA AMBON,74.38,74.01,74.33
KOTA TUAL,58.2,57.54,58.05
MALUKU UTARA,77.5,77.28,78.59
HALMAHERA BARAT,66.22,72.36,72.38
HALMAHERA TENGAH,52.2,51.69,51.7
KEPULAUAN SULA,49.87,45.05,44.68
HALMAHERA SELATAN,47.3,47.29,47.19
HALMAHERA UTARA,66.3,66.53,66.1
HALMAHERA TIMUR,50.74,50.84,51.23
PULAU MOROTAI,55.77,55.71,54.41
PULAU TALIABU,56.73,57.69,58.33
KOTA TERNATE,74.9,74.96,75.08
KOTA TIDORE KEPULAUAN,67.52,67.01,67.32
PAPUA BARAT,61.52,62.17,62.17
FAKFAK,59.64,59.82,60.07
KAIMANA,73.57,74.23,74.3
TELUK WONDAMA,53.75,53.19,51.01
TELUK BINTUNI,56.52,57.19,56.85
MANOKWARI,71.75,73.46,72.57
SORONG SELATAN,63.74,58.4,64.52
SORONG,59.25,60.69,59.61
RAJA AMPAT,52.88,53.49,53.11
TAMBRAUW,36.61,33.63,34.54
MAYBRAT,44,45.04,44.84
MANOKWARI SELATAN,64.74,66.63,66.26
PEGUNUNGAN ARFAK,31.57,33.34,36.36
KOTA SORONG,69.55,69.65,70.14
PAPUA,65.37,66.72,67.5
MERAUKE,57.35,55.59,58.12
JAYAWIJAYA,60.33,58.9,61.5
JAYAPURA,69.7,68.77,70.2
NABIRE,65.9,65.17,66.55
KEPULAUAN YAPEN,70.32,68.95,67.73
BIAK NUMFOR,70.56,69.95,68.87
PANIAI,51.13,52.39,57.36
PUNCAK JAYA,47.9,48.9,51.94
MIMIKA,43.43,52.79,53.86
BOVEN DIGOEL,54.07,53.87,52.17
MAPPI,55.56,55.98,58.91
ASMAT,74.86,77.13,78.37
YAHUKIMO,44.86,41.3,37.95
PEGUNUNGAN BINTANG,59.37,51.35,51.95
TOLIKARA,62.44,52.51,47.91
SARMI,73.09,74.19,72.92
KEEROM,58.06,59.31,59.83
WAROPEN,47.78,50.82,50.39
SUPIORI,66.33,64.07,62.65
MAMBERAMO RAYA,58.23,53.8,59.29
NDUGA,54.13,58.21,47.61
LANNY JAYA,42.51,44.03,37.08
MAMBERAMO TENGAH,45.64,40.66,46.96
YALIMO,39.08,42.26,37.8
PUNCAK,48.26,45.43,40.83
DOGIYAI,59.9,40.57,35.22
INTAN JAYA,43.96,39.88,37.14
DEIYAI,39.35,40.07,40.17
KOTA JAYAPURA,82.75,81.05,80.25
INDONESIA,75.24,75.57,76.26
