Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
Kapuas Hulu,0.576,0.62,0.586
Sekadau,0.678,0.675,0.668
Melawi,0.659,0.603,0.603
Kayong Utara,0.687,0.856,0.853
Kubu Raya,0.6,0.544,0.526
Kota Pontianak,0.44,0.314,0.454
Kota Singkawang,0.352,0.327,0.321
KALIMANTAN TENGAH,0.565,0.541,0.547
Kotawaringin Barat,0.531,0.554,0.554
Kotawaringin Timur,0.58,0.563,0.582
Kapuas,0.57,0.542,0.565
Barito Selatan,0.584,0.555,0.566
Barito Utara,0.55,0.569,0.559
Sukamara,0.53,0.55,0.535
Lamandau,0.659,0.549,0.523
Seruyan,0.588,0.6,0.622
Katingan,0.598,0.637,0.61
Pulang Pisau,0.546,0.554,0.558
Gunung Mas,0.582,0.573,0.56
Barito Timur,0.573,0.554,0.54
Murung Raya,0.616,0.622,0.624
Kota Palangka Raya,0.427,0.43,0.432
KALIMANTAN SELATAN,0.54,0.529,0.528
Tanah Laut,0.559,0.532,0.517
Kotabaru,0.576,0.577,0.584
Banjar,0.54,0.528,0.509
Barito Kuala,0.547,0.53,0.553
Tapin,0.596,0.61,0.605
Hulu Sungai Selatan,0.527,0.566,0.564
Hulu Sungai Tengah,0.521,0.489,0.521
Hulu Sungai Utara,0.56,0.531,0.518
Tabalong,0.531,0.514,0.523
Tanah Bumbu,0.592,0.582,0.591
Balangan,0.601,0.567,0.581
Kota Banjarmasin,0.391,0.368,0.356
Kota Banjar Baru,0.267,0.481,0.409
KALIMANTAN TIMUR,0.497,0.477,0.467
Paser,0.552,0.504,0.549
Kutai Barat,0.513,0.574,0.484
Kutai Kartanegara,0.571,0.54,0.556
Kutai Timur,0.52,0.561,0.53
Berau,0.487,0.523,0.493
Penajam Paser Utara,0.589,0.55,0.438
Mahakam Ulu,0.465,0.509,0.406
Kota Balikpapan,0.168,0.3,0.297
Kota Samarinda,0.411,0.32,0.311
Kota Bontang,0.261,0.253,0.235
KALIMANTAN UTARA,0.481,0.497,0.468
Malinau,0.551,0.544,0.48
